timestamp,timestamp_iso,subject,form_slug,route_name,submitter_name,submitter_email,to,pdf_filename,attachment_count,has_attachments,status,email_id,error
2026-03-17 02:06 PM EDT,2026-03-17T14:06:13.953209-04:00,Dan Kelly Award Vote Submitted,dan_kelly_voting,dan_kelly_voting,test,test@test.com,erodriguez@doitoutdoors.com,test_dan_kelly_award_vote_submitted_20260317_140613.pdf,1,True,sent,3e74f6b4-45d3-4367-ae1e-b48c54af8ce3,
2026-03-17 04:13 PM EDT,2026-03-17T16:13:32.857292-04:00,March Safety Quiz Submitted,monthly_quiz,monthly_quiz,test,test@test.com,erodriguez@doitoutdoors.com,test_march_safety_quiz_submitted_20260317_161332.pdf,1,True,sent,c895c27a-8025-4ca3-93a7-1c4efcc7ce42,
2026-03-18 08:35 AM EDT,2026-03-18T08:35:21.627174-04:00,March Safety Quiz Submitted,monthly_quiz,monthly_quiz,test,test@test.com,erodriguez@doitoutdoors.com,test_march_safety_quiz_submitted_20260318_083520.pdf,1,True,sent,96f75711-aa59-49c1-a722-e2836694a626,
2026-03-18 08:45 AM EDT,2026-03-18T08:45:42.681343-04:00,Admin Log Export,,,,,erodriguez@doitoutdoors.com,,1,True,sent,d78fe322-e086-49bc-817a-b7a6cdf6c3bc,
2026-03-18 08:45 AM EDT,2026-03-18T08:45:43.091876-04:00,Admin Log Export,,,,,erodriguez@doitoutdoors.com,,1,True,sent,649fb6ca-c657-4e1c-8045-6f3cdfabe0ca,
2026-03-19 01:21 PM EDT,2026-03-19T13:21:23.967924-04:00,Driver Introduction - test,driver_introduction,driver_introduction,test,test@test.com,paperwork@doitoutdoors.com,test_driver_introduction_-_test_20260319_132123.pdf,1,True,failed,,"You can only send testing emails to your own email address (erodriguez@doitoutdoors.com). To send emails to other recipients, please verify a domain at resend.com/domains, and change the `from` address to an email using this domain."
2026-03-19 01:22 PM EDT,2026-03-19T13:22:35.994962-04:00,Driver Introduction - test,driver_introduction,driver_introduction,test,test@test.com,erodriguez@doitoutdoors.com,test_driver_introduction_-_test_20260319_132235.pdf,1,True,sent,5f7241d0-343f-48db-8d79-5f1477d593ed,
2026-03-26 10:30 AM EDT,2026-03-26T10:30:42.470236-04:00,Lead Driver Applicant Feedback Submitted,lead_applicant_feedback,lead_applicant_feedback,test,,erodriguez@doitoutdoors.com,test_lead_driver_applicant_feedback_submitted_20260326_103041.pdf,1,True,sent,f5243f06-654a-4965-a83f-0a2f9e9e2c8b,
2026-03-29 08:37 PM EDT,2026-03-29T20:37:46.041854-04:00,Driver Contact Report Submitted,contactreport,contactreport,test,test@test.com,erodriguez@doitoutdoors.com,test_driver_contact_report_submitted_20260329_203744.pdf,2,True,failed,,API key is invalid
2026-03-29 08:43 PM EDT,2026-03-29T20:43:34.922620-04:00,Driver Contact Report Submitted,contactreport,contactreport,test,test@test.com,erodriguez@doitoutdoors.com,test_driver_contact_report_submitted_20260329_204334.pdf,2,True,failed,,API key is invalid
2026-03-29 08:48 PM EDT,2026-03-29T20:48:16.278589-04:00,Upcoming Campaign Questionnaire Submitted,upcoming_campaign_questionnaire,upcoming_campaign,test,test@test.com,erodriguez@doitoutdoors.com,test_upcoming_campaign_questionnaire_submitted_20260329_204815.pdf,1,True,sent,2fd9b685-676a-496f-8d59-79dddfd49bce,
2026-03-29 08:51 PM EDT,2026-03-29T20:51:13.429571-04:00,Upcoming Campaign Questionnaire Submitted,upcoming_campaign_questionnaire,upcoming_campaign,test,test@test.com,erodriguez@doitoutdoors.com,test_upcoming_campaign_questionnaire_submitted_20260329_205113.pdf,1,True,failed,,API key is invalid
